,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
334,"['👇', '✨']",9,0.2222222222222222,0.8888888888888888,0.0,1.2222222222222223,0.8888888888888888,1.2222222222222223,0.3333333333333333,1.7777777777777777
335,"['🔥', '✨']",2,0.5,1.5,0.0,0.0,1.5,0.0,0.0,1.5
336,"['😂', '💥']",5,0.4,0.8,0.6,1.0,0.6,0.6,0.2,0.8
337,"['👉', '✨', '👀']",1,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
338,"['😂', '❤', '👀']",4,0.0,0.5,0.0,0.25,0.5,0.25,0.25,1.0
339,"['🚨', '✅']",19,0.7894736842105263,0.21052631578947367,0.8421052631578947,2.263157894736842,0.05263157894736842,2.1578947368421053,0.05263157894736842,0.9473684210526315
340,"['❌', '📌']",7,1.0,0.2857142857142857,1.8571428571428572,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5714285714285714
341,"['❤', '✅', '🥺']",2,0.5,2.0,0.0,1.0,1.0,0.5,0.5,2.0
342,"['😂', '👇', '🔴']",4,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
343,"['😩', '💔', '😂']",1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
344,"['❌', '🔥']",1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
345,"['❤', '❗']",1,0.0,4.0,0.0,1.0,4.0,1.0,2.0,2.0
346,"['⚽', '👀']",1,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0
347,"['😂', '😭', '💔', '🤣']",2,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
348,"['🔴', '📌']",5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
349,"['😂', '😭', '💔']",19,0.3157894736842105,0.5789473684210527,0.3684210526315789,0.5263157894736842,0.3684210526315789,0.6842105263157895,0.05263157894736842,0.2631578947368421
350,"['🔴', '✅']",6,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
351,"['🔴', '⚠', '📍']",1,1.0,2.0,3.0,3.0,2.0,2.0,0.0,6.0
352,"['🙏', '👉', '👀']",1,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
353,['⚡'],75,0.21333333333333335,0.28,0.22666666666666666,0.56,0.68,0.4666666666666667,0.16,0.8933333333333333
354,"['❌', '🔴', '📌']",2,0.5,1.0,0.5,3.5,1.5,4.5,1.0,1.5
355,"['❤', '😭', '🤣']",1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
356,"['🚨', '⚠']",191,0.17801047120418848,0.3507853403141361,0.4083769633507853,0.9476439790575916,0.4083769633507853,0.8848167539267016,0.14659685863874344,0.8167539267015707
357,"['💔', '🤡']",3,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
358,"['🥺', '🤡']",1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
359,"['❌', '🔥', '❗']",1,2.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0
360,"['✨', '👀']",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
361,"['😂', '🤔']",33,0.42424242424242425,0.7272727272727273,0.48484848484848486,1.3333333333333333,0.45454545454545453,0.9393939393939394,0.18181818181818182,1.0606060606060606
362,['✨'],947,0.3167898627243928,0.6494192185850053,0.3780359028511088,0.9408658922914467,0.5512143611404435,0.6261879619852164,0.16684266103484688,0.9292502639915523
363,"['❤', '🎉', '🥰']",1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
364,"['😂', '❤', '🥺']",5,0.4,0.8,0.6,0.4,1.2,0.2,0.8,1.2
365,"['😂', '👀']",12,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.5,0.25,0.5,0.16666666666666666,0.16666666666666666
366,"['❤', '✨']",38,0.3684210526315789,0.8421052631578947,0.34210526315789475,0.8421052631578947,0.868421052631579,0.631578947368421,0.23684210526315788,0.8421052631578947
367,"['😂', '😎']",32,0.59375,0.71875,0.40625,0.84375,0.78125,0.375,0.40625,0.84375
368,"['❤', '✨', '🥰']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,"['🚨', '🥺']",1,2.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0
370,"['⚽', '👇', '❗']",2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
371,['😩'],230,0.22608695652173913,0.2956521739130435,0.6173913043478261,0.8739130434782608,0.23478260869565218,0.7869565217391304,0.15217391304347827,0.40869565217391307
372,"['❤', '🥺']",561,0.0855614973262032,0.22459893048128343,0.062388591800356503,0.2531194295900178,0.2887700534759358,0.15508021390374332,0.0766488413547237,0.24420677361853832
373,"['‼', '👇', '✅', '💥']",1,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0
374,"['👇', '💥']",2,1.5,1.5,1.0,1.5,0.5,2.0,0.0,1.5
