,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
694,"['👇', '🔴']",9,0.7777777777777778,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8888888888888888
695,"['🙏', '🥰', '🥺']",1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
696,"['❤', '🥺', '🤣']",36,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
697,"['😩', '👀']",3,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,1.0,0.3333333333333333
698,"['🇧🇷', '🙏']",5,0.2,0.4,0.4,0.4,0.0,0.2,0.0,0.6
699,"['😭', '😎']",1,0.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0
700,"['📌', '✅', '📍']",1,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0
701,"['‼', '🔥', '🚨']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,"['🔥', '🚨', '⚠']",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
703,"['⭐', '⚡']",4,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
704,"['⚽', '⚡']",2,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.5
705,['🤔'],1464,1.0430327868852458,0.6871584699453552,0.6762295081967213,1.269808743169399,0.444672131147541,0.9146174863387978,0.30327868852459017,0.9098360655737705
706,"['✨', '📍']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,"['🤔', '📍']",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
708,"['⭐', '📍']",2,1.5,0.5,1.0,1.5,0.5,1.0,0.0,1.5
709,"['😭', '🔥', '✨']",1,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0
710,"['🙏', '🥺']",68,0.4852941176470588,1.088235294117647,0.7205882352941176,1.3088235294117647,0.9117647058823529,1.088235294117647,0.38235294117647056,1.6029411764705883
711,"['😭', '🤔']",3,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
712,"['😂', '😭', '🥺']",5,0.4,0.4,0.0,0.8,0.4,0.6,0.2,0.4
713,"['⭐', '❌', '👉', '✅', '❗']",1,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
714,"['❤', '😎', '😭', '📍']",1,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0
715,"['‼', '❗']",7,1.1428571428571428,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.2857142857142857,1.2857142857142858,0.5714285714285714,0.42857142857142855
716,"['‼', '🙄']",7,1.5714285714285714,0.8571428571428571,0.7142857142857143,1.2857142857142858,0.7142857142857143,1.1428571428571428,0.2857142857142857,1.0
717,"['🚨', '👉', '✅']",1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
718,"['🔥', '👇', '🤣']",1,2.0,2.0,2.0,3.0,1.0,4.0,0.0,4.0
719,"['⚽', '💥']",3,0.0,1.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.0,0.3333333333333333
720,"['❤', '💔', '😭']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,"['🇧🇷', '✨']",317,1.003154574132492,0.0031545741324921135,0.0031545741324921135,0.9968454258675079,0.0031545741324921135,1.0,1.0,0.0031545741324921135
722,"['😭', '✨', '🥺']",4,1.0,0.75,0.75,1.75,0.25,0.75,0.5,0.75
723,"['👉', '⚡', '👀']",1,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0
724,"['🔥', '🔴']",6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
725,"['💔', '🔥']",1,0.0,1.0,0.0,2.0,3.0,1.0,0.0,5.0
726,"['😭', '😎', '❤', '🙏', '📍']",1,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0
727,"['⚡', '👀']",3,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0
728,"['➡', '🤔', '👉']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,"['➡', '👉', '👀']",1,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
730,"['😂', '❤', '🙏']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,"['😂', '❤', '🥰']",4,1.0,0.5,0.25,1.25,0.75,1.0,0.5,0.25
732,"['⭐', '🔥']",3,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0,1.3333333333333333,0.0,1.6666666666666667
