,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
482,"['❌', '✅', '⚠']",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
483,"['🇫🇷', '🚨']",1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
484,"['➡', '🤣']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,"['😂', '🤣']",131,0.061068702290076333,0.16030534351145037,0.0916030534351145,0.08396946564885496,0.16030534351145037,0.11450381679389313,0.0916030534351145,0.21374045801526717
486,"['🔥', '👇']",47,0.3617021276595745,0.23404255319148937,0.0851063829787234,0.3829787234042553,0.19148936170212766,0.425531914893617,0.10638297872340426,0.6170212765957447
487,"['⭐', '🔥', '✨']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,"['🙄', '🥰', '👀']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,"['🇧🇷', '😎']",4,0.75,0.0,0.0,1.5,0.0,0.75,0.75,0.0
490,"['🔥', '🤣']",14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
491,"['💔', '🥰', '⚡']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,"['🇧🇷', '👇', '✨']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,"['👉', '👀']",63,0.1746031746031746,0.7619047619047619,0.14285714285714285,1.0793650793650793,0.2857142857142857,0.3492063492063492,0.2222222222222222,0.8412698412698413
494,"['⚽', '🤣']",2,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0
495,"['🙄', '👉']",2,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0
496,"['👉', '🔴', '✅']",2,1.0,2.0,0.0,1.0,3.0,0.0,2.0,3.0
497,"['🔥', '✨', '⚡']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,"['🙏', '📌']",30,0.06666666666666667,0.16666666666666666,0.0,0.03333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333
499,"['🙏', '⚠']",4,0.5,0.0,0.5,0.75,0.0,0.75,0.0,0.25
500,"['⚽', '📌']",48,0.0625,0.8125,0.10416666666666667,0.375,0.5,0.125,0.0625,0.6875
501,"['➡', '⚡']",11,0.09090909090909091,0.5454545454545454,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182
502,"['👇', '🚨', '👀']",5,0.6,0.6,0.0,0.8,0.4,0.2,0.4,0.4
503,"['❤', '🙏', '⚽']",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
504,"['🙄', '👀']",1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
505,"['‼', '⚽', '✨']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,"['😭', '🥺']",9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333
507,['📍'],1910,0.25026178010471206,0.5685863874345549,0.20523560209424083,0.35706806282722514,0.42198952879581153,0.28272251308900526,0.1743455497382199,0.8979057591623036
508,"['‼', '🎉']",15,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.5333333333333333
509,"['😎', '🤣']",5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
510,"['❤', '⚽']",119,0.13445378151260504,0.3949579831932773,0.25210084033613445,0.3277310924369748,0.3949579831932773,0.13445378151260504,0.2184873949579832,0.48739495798319327
511,"['✨', '📌']",3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
